"","feature","accuracyDifference"
"116","ENSG00000248701.1",0.000126931567328903
"205","ENSG00000229780.1",0.000126931567328903
"55","ENSG00000235131.1",0.000121412803532062
"98","ENSG00000261520.5",0.000121412803532062
"113","ENSG00000234281.5",0.000121412803532062
"203","ENSG00000224870.6",0.000121412803532062
"214","ENSG00000196756.11",0.000121412803532062
"230","ENSG00000180712.3",0.000121412803532062
"326","ENSG00000233834.6",0.000121412803532062
"353","ENSG00000234184.5",0.000121412803532062
"407","ENSG00000248445.5",0.000121412803532062
"428","ENSG00000254186.2",0.000121412803532062
"117","ENSG00000258526.5",0.000115894039735109
"120","ENSG00000228393.3",0.000115894039735109
"151","ENSG00000244625.5",0.000115894039735109
"369","ENSG00000235298.1",0.000115894039735109
"389","ENSG00000237073.1",0.000115894039735109
"442","ENSG00000259326.1",0.000115894039735109
"8","ENSG00000257497.2",0.000110375275938268
"156","ENSG00000261436.5",0.000110375275938268
"235","ENSG00000224799.1",0.000110375275938268
"292","ENSG00000261220.2",0.000110375275938268
"142","ENSG00000226669.2",0.000104856512141316
"315","ENSG00000232907.7",0.000104856512141316
"371","ENSG00000231365.5",0.000104856512141316
"168","ENSG00000250155.1",9.93377483443636e-05
"177","ENSG00000231671.1",9.93377483443636e-05
"368","ENSG00000253633.1",9.93377483443636e-05
"412","ENSG00000235366.2",9.93377483443636e-05
"21","ENSG00000231721.7",9.38189845475224e-05
"70","ENSG00000259659.1",9.38189845475224e-05
"207","ENSG00000231794.5",9.38189845475224e-05
"228","ENSG00000253839.1",9.38189845475224e-05
"290","ENSG00000250081.1",9.38189845475224e-05
"400","ENSG00000234171.2",9.38189845475224e-05
"411","ENSG00000232164.1",9.38189845475224e-05
"42","ENSG00000233367.1",8.83002207505701e-05
"104","ENSG00000235300.4",8.83002207505701e-05
"160","ENSG00000259485.1",8.83002207505701e-05
"337","ENSG00000235085.3",8.27814569537288e-05
"45","ENSG00000261476.1",8.27814569536178e-05
"76","ENSG00000253811.1",8.27814569536178e-05
"82","ENSG00000261573.1",8.27814569536178e-05
"314","ENSG00000236790.5",8.27814569536178e-05
"402","ENSG00000237491.8",8.27814569536178e-05
"23","ENSG00000232774.7",7.72626931567766e-05
"174","ENSG00000226328.6",7.72626931567766e-05
"377","ENSG00000258136.1",7.72626931567766e-05
"84","ENSG00000246067.7",7.17439293598243e-05
"176","ENSG00000246477.3",7.17439293598243e-05
"266","ENSG00000258365.1",6.62251655629831e-05
"395","ENSG00000236255.1",6.62251655629831e-05
"60","ENSG00000224032.6",6.07064017660308e-05
"172","ENSG00000240291.1",6.07064017660308e-05
"269","ENSG00000234917.2",6.07064017660308e-05
"158","ENSG00000251088.1",4.96688741722373e-05
"350","ENSG00000256193.5",4.96688741722373e-05
"347","ENSG00000260822.1",4.4150110375285e-05
"79","ENSG00000254248.1",3.86313465784438e-05
"187","ENSG00000177406.4",3.86313465784438e-05
"264","ENSG00000177738.3",3.86313465784438e-05
"409","ENSG00000230782.1",3.86313465784438e-05
"215","ENSG00000225889.7",3.31125827814915e-05
"249","ENSG00000245694.9",2.2075055187698e-05
"433","ENSG00000229127.1",1.65562913907458e-05
"71","ENSG00000260884.1",1.10375275937935e-05
"175","ENSG00000261326.2",5.51876379695226e-06
"68","ENSG00000230937.11",0
"258","ENSG00000245311.2",0
"139","ENSG00000179676.6",-2.2075055187587e-05
"394","ENSG00000253716.5",-4.96688741721263e-05
"299","ENSG00000226751.2",-6.07064017660308e-05
"31","ENSG00000253352.9",-7.17439293598243e-05
"159","ENSG00000224137.1",-7.72626931566656e-05
"227","ENSG00000227403.1",-8.27814569536178e-05
"370","ENSG00000249318.1",-8.27814569536178e-05
"222","ENSG00000226419.7",-9.93377483443636e-05
"48","ENSG00000259345.6",-0.000121412803531951
"210","ENSG00000261485.1",-0.000137969094922696
"365","ENSG00000254911.3",-0.000154525386313442
"321","ENSG00000251586.1",-0.000160044150110394
"267","ENSG00000248360.7",-0.000165562913907236
"421","ENSG00000253522.6",-0.000165562913907236
"438","ENSG00000206344.7",-0.000171081677704188
"56","ENSG00000248049.6",-0.000204194260485679
"245","ENSG00000241163.7",-0.000215231788079473
"265","ENSG00000238018.2",-0.000226269315673266
"308","ENSG00000229807.10",-0.000226269315673266
"413","ENSG00000229999.6",-0.000226269315673266
"88","ENSG00000259366.1",-0.000231788079470219
"52","ENSG00000251513.2",-0.00023730684326706
"363","ENSG00000246582.2",-0.000242825607064012
"178","ENSG00000226312.7",-0.000248344370860965
"86","ENSG00000225733.5",-0.000253863134657806
"423","ENSG00000228262.8",-0.000259381898454758
"313","ENSG00000254207.1",-0.000275938189845504
"250","ENSG00000251136.8",-0.000281456953642345
"296","ENSG00000233885.7",-0.000292494481236139
"218","ENSG00000229989.3",-0.000342163355408376
"342","ENSG00000237499.6",-0.000358719646799122
"372","ENSG00000237031.7",-0.000358719646799122
"404","ENSG00000206573.8",-0.000364238410595963
"424","ENSG00000246790.2",-0.000364238410595963
"19","ENSG00000235560.3",-0.000369757174392915
"37","ENSG00000205786.8",-0.000375275938189867
"25","ENSG00000261324.2",-0.000380794701986709
"80","ENSG00000231119.2",-0.000380794701986709
"147","ENSG00000246859.2",-0.000386313465783661
"26","ENSG00000237036.4",-0.000402869757174407
"379","ENSG00000153363.12",-0.000402869757174407
"242","ENSG00000229388.1",-0.000408388520971248
"416","ENSG00000249096.6",-0.0004139072847682
"65","ENSG00000249150.1",-0.000435982339955787
"164","ENSG00000250988.7",-0.000435982339955787
"282","ENSG00000261799.1",-0.000447019867549581
"386","ENSG00000225914.2",-0.000458057395143485
"145","ENSG00000226779.1",-0.000474613686534231
"312","ENSG00000231177.4",-0.000485651214128024
"390","ENSG00000257894.2",-0.000518763796909405
"122","ENSG00000242125.3",-0.000535320088300151
"123","ENSG00000254325.2",-0.000546357615894055
"444","ENSG00000238198.1",-0.000579470198675436
"287","ENSG00000226696.5",-0.000596026490066182
"289","ENSG00000258168.5",-0.000673289183222958
"213","ENSG00000261135.1",-0.000711920529801291
"110","ENSG00000225092.2",-0.000733995584988989
"291","ENSG00000260971.4",-0.00073951434878583
"378","ENSG00000236991.6",-0.000750551876379624
"24","ENSG00000255717.6",-0.000767108167770369
"109","ENSG00000256742.1",-0.000794701986754909
"221","ENSG00000227674.1",-0.000822295805739448
"323","ENSG00000197085.11",-0.000849889624723987
"208","ENSG00000230551.4",-0.000954746136865303
"240","ENSG00000187951.11",-0.000965783664459097
"232","ENSG00000203362.2",-0.000993377483443636
"408","ENSG00000226380.9",-0.00102649006622513
"270","ENSG00000246228.6",-0.00103200883002208
"216","ENSG00000237638.1",-0.00107615894039736
"420","ENSG00000251002.7",-0.00108719646799116
"209","ENSG00000247271.6",-0.00112582781456949
"302","ENSG00000258199.1",-0.00115894039735098
"317","ENSG00000203325.3",-0.00118101545253857
"329","ENSG00000257151.1",-0.00131346578366442
"261","ENSG00000254166.2",-0.00166114790286975
"10","ENSG00000259623.1",-0.00168874172185429
"30","ENSG00000235823.2",-0.00178807947019866
"78","ENSG00000227518.5",-0.00188189845474607
"184","ENSG00000230612.3",-0.00188189845474607
"114","ENSG00000235531.9",-0.00267660044150109
"192","ENSG00000236199.1",-0.00270971302428247
"331","ENSG00000234771.3",-0.003046357615894
"252","ENSG00000247809.7",-0.00405077262693154
