"","feature","accuracyDifference"
"167","ENSG00000206337.10",0.00135057471264366
"286","ENSG00000255910.1",0.00135057471264366
"2","ENSG00000215424.9",0.00134339080459767
"119","ENSG00000261633.1",0.00134339080459767
"179","ENSG00000182165.17",0.00134339080459767
"199","ENSG00000258451.1",0.00134339080459767
"211","ENSG00000233367.1",0.00134339080459767
"254","ENSG00000224870.6",0.00134339080459767
"83","ENSG00000249614.1",0.00133620689655167
"213","ENSG00000241168.1",0.00133620689655167
"28","ENSG00000261706.1",0.00132902298850568
"116","ENSG00000226026.5",0.00132902298850568
"176","ENSG00000203497.2",0.00132902298850568
"187","ENSG00000260774.1",0.00132902298850568
"192","ENSG00000225032.5",0.00132902298850568
"238","ENSG00000231064.7",0.00132902298850568
"263","ENSG00000241388.5",0.00132902298850568
"149","ENSG00000235902.1",0.0013218390804598
"180","ENSG00000230438.6",0.0013218390804598
"344","ENSG00000214049.7",0.0013218390804598
"89","ENSG00000261061.1",0.0013146551724138
"246","ENSG00000255968.1",0.0013146551724138
"37","ENSG00000132832.10",0.00130747126436781
"63","ENSG00000233527.8",0.00130747126436781
"64","ENSG00000185065.6",0.00130747126436781
"137","ENSG00000231365.5",0.00130747126436781
"227","ENSG00000184224.3",0.00130747126436781
"345","ENSG00000258682.1",0.00130747126436781
"380","ENSG00000258727.1",0.00130747126436781
"112","ENSG00000236081.1",0.00130028735632182
"157","ENSG00000240207.6",0.00130028735632182
"218","ENSG00000221817.9",0.00130028735632182
"15","ENSG00000226453.1",0.00128591954022983
"22","ENSG00000226240.1",0.00128591954022983
"355","ENSG00000255306.1",0.00128591954022983
"234","ENSG00000177738.3",0.00127873563218384
"36","ENSG00000246263.2",0.00127155172413795
"186","ENSG00000235837.1",0.00127155172413795
"316","ENSG00000247903.1",0.00127155172413795
"74","ENSG00000230606.10",0.00126436781609196
"87","ENSG00000240498.7",0.00125718390804597
"143","ENSG00000255135.3",0.00125718390804597
"293","ENSG00000245556.2",0.00125718390804597
"196","ENSG00000223749.9",0.00124999999999997
"101","ENSG00000186594.14",0.00124281609195398
"363","ENSG00000257953.1",0.00124281609195398
"239","ENSG00000224799.1",0.00122844827586199
"43","ENSG00000238107.1",0.00121408045977012
"153","ENSG00000230733.2",0.00120689655172412
"201","ENSG00000230392.1",0.00120689655172412
"321","ENSG00000232774.7",0.00119971264367813
"349","ENSG00000235298.1",0.00119971264367813
"193","ENSG00000215256.3",0.00119252873563214
"181","ENSG00000246451.2",0.00117816091954026
"100","ENSG00000248370.1",0.00114942528735629
"307","ENSG00000232995.7",0.00114224137931029
"14","ENSG00000228106.5",0.0011350574712643
"212","ENSG00000153363.12",0.00112787356321842
"142","ENSG00000237484.5",0.00109195402298845
"214","ENSG00000204758.7",0.00107758620689657
"219","ENSG00000230896.1",0.00107758620689657
"310","ENSG00000228794.8",0.00107758620689657
"148","ENSG00000231305.3",0.00105603448275859
"191","ENSG00000257621.7",0.00102011494252874
"231","ENSG00000228261.1",0.000991379310344764
"93","ENSG00000260032.1",0.000977011494252888
"52","ENSG00000247556.6",0.000933908045977039
"329","ENSG00000257337.6",0.000926724137931045
"40","ENSG00000231119.2",0.000883620689655196
"225","ENSG00000259380.5",0.000883620689655196
"11","ENSG00000224738.1",0.000862068965517215
"145","ENSG00000204792.2",0.000833333333333353
"204","ENSG00000261367.1",0.000826149425287359
"9","ENSG00000239415.1",0.000811781609195372
"210","ENSG00000230612.3",0.000804597701149379
"281","ENSG00000215068.7",0.000797413793103385
"42","ENSG00000253500.5",0.000790229885057392
"62","ENSG00000242125.3",0.000783045977011509
"279","ENSG00000260219.2",0.000783045977011509
"17","ENSG00000261476.1",0.000761494252873529
"130","ENSG00000236200.5",0.000754310344827536
"33","ENSG00000227674.1",0.00073994252873566
"381","ENSG00000257894.2",0.00073994252873566
"354","ENSG00000261799.1",0.000718390804597679
"5","ENSG00000251417.2",0.000696839080459699
"121","ENSG00000260917.1",0.000689655172413817
"46","ENSG00000225361.3",0.000646551724137856
"13","ENSG00000225914.2",0.000639367816091974
"289","ENSG00000258904.1",0.000639367816091974
"276","ENSG00000260949.1",0.000624999999999987
"106","ENSG00000261008.6",0.000617816091953993
"72","ENSG00000225733.5",0.000610632183908
"247","ENSG00000259623.1",0.00050287356321832
"118","ENSG00000249042.5",0.000488505747126444
"185","ENSG00000251603.1",0.000387931034482758
"4","ENSG00000246695.7",0.000366379310344778
"70","ENSG00000258056.2",0.000366379310344778
"314","ENSG00000234509.1",0.000366379310344778
"331","ENSG00000244300.2",0.000352011494252902
"235","ENSG00000223546.6",0.000337643678160915
"243","ENSG00000259366.1",0.000301724137931059
"248","ENSG00000237331.1",0.000244252873563222
"90","ENSG00000214293.8",0.000237068965517229
"140","ENSG00000225470.7",0.000229885057471235
"327","ENSG00000234912.11",0.000179597701149392
"296","ENSG00000259877.2",0.000172413793103399
"312","ENSG00000260942.1",0.000172413793103399
"69","ENSG00000226237.1",0.000158045977011523
"95","ENSG00000236526.1",0.000158045977011523
"154","ENSG00000151303.11",0.000158045977011523
"126","ENSG00000260852.1",0.000136494252873542
"335","ENSG00000260233.3",5.02873563218431e-05
"368","ENSG00000246859.2",3.59195402298562e-05
"168","ENSG00000236144.6",7.18390804599345e-06
"102","ENSG00000230590.9",-2.15517241379803e-05
"342","ENSG00000204054.13",-5.74712643678366e-05
"108","ENSG00000259488.2",-0.000165229885057516
"277","ENSG00000206573.8",-0.00017241379310351
"134","ENSG00000261270.1",-0.000186781609195386
"304","ENSG00000260578.1",-0.000229885057471235
"379","ENSG00000259642.2",-0.000265804597701202
"320","ENSG00000231177.4",-0.000301724137931059
"224","ENSG00000233429.9",-0.000409482758620738
"135","ENSG00000203739.3",-0.000538793103448287
"138","ENSG00000250208.6",-0.00056752873563215
"51","ENSG00000261135.1",-0.00058908045977013
"216","ENSG00000215386.12",-0.00058908045977013
"32","ENSG00000247828.7",-0.000596264367816124
"306","ENSG00000259408.2",-0.000596264367816124
"158","ENSG00000259001.3",-0.000603448275862117
"162","ENSG00000196741.5",-0.000603448275862117
"82","ENSG00000230615.6",-0.000639367816091974
"88","ENSG00000255874.2",-0.000704022988505804
"105","ENSG00000249550.6",-0.000754310344827647
"233","ENSG00000197670.6",-0.000775862068965516
"255","ENSG00000235823.2",-0.00104166666666672
"165","ENSG00000234771.3",-0.00126436781609196
"250","ENSG00000231609.5",-0.00126436781609196
"200","ENSG00000260114.2",-0.00128591954022994
"44","ENSG00000253352.9",-0.00137931034482763
"166","ENSG00000176124.11",-0.00144396551724135
"45","ENSG00000227518.5",-0.00147270114942533
"25","ENSG00000260196.1",-0.0014942528735632
"374","ENSG00000175061.17",-0.0014942528735632
"78","ENSG00000206195.10",-0.00160201149425288
"288","ENSG00000226950.6",-0.00173132183908054
"98","ENSG00000163597.14",-0.00178879310344826
"177","ENSG00000250899.3",-0.00191810344827592
"313","ENSG00000179818.13",-0.00192528735632191
"163","ENSG00000258168.5",-0.0019324712643678
"318","ENSG00000246582.2",-0.00216235632183914
"338","ENSG00000231806.3",-0.00217672413793102
"301","ENSG00000250548.6",-0.00226293103448283
"298","ENSG00000236088.9",-0.00257902298850576
